term_en,term_vi,domain,subdomain,parent_term_en,synonyms_en,definition_en,definition_vi
biology,sinh học,biology,cell_biology,biology,,A term in cell biology within biology.,Thuật ngữ thuộc nhóm cell biology trong lĩnh vực biology.
cell,tế bào,biology,cell_biology,biology,,A term in cell biology within biology.,Thuật ngữ thuộc nhóm cell biology trong lĩnh vực biology.
cell membrane,màng tế bào,biology,cell_biology,biology,,A term in cell biology within biology.,Thuật ngữ thuộc nhóm cell biology trong lĩnh vực biology.
cytoplasm,tế bào chất,biology,cell_biology,biology,,A term in cell biology within biology.,Thuật ngữ thuộc nhóm cell biology trong lĩnh vực biology.
nucleus,nhân tế bào,biology,cell_biology,biology,,A term in cell biology within biology.,Thuật ngữ thuộc nhóm cell biology trong lĩnh vực biology.
ribosome,ribosome,biology,cell_biology,biology,,A term in cell biology within biology.,Thuật ngữ thuộc nhóm cell biology trong lĩnh vực biology.
mitochondrion,ti thể,biology,cell_biology,biology,,A term in cell biology within biology.,Thuật ngữ thuộc nhóm cell biology trong lĩnh vực biology.
chloroplast,lục lạp,biology,cell_biology,biology,,A term in cell biology within biology.,Thuật ngữ thuộc nhóm cell biology trong lĩnh vực biology.
lysosome,tiêu thể,biology,cell_biology,biology,,A term in cell biology within biology.,Thuật ngữ thuộc nhóm cell biology trong lĩnh vực biology.
Golgi apparatus,bộ máy Golgi,biology,cell_biology,biology,,A term in cell biology within biology.,Thuật ngữ thuộc nhóm cell biology trong lĩnh vực biology.
endoplasmic reticulum,lưới nội chất,biology,cell_biology,biology,,A term in cell biology within biology.,Thuật ngữ thuộc nhóm cell biology trong lĩnh vực biology.
cell wall,thành tế bào,biology,cell_biology,biology,,A term in cell biology within biology.,Thuật ngữ thuộc nhóm cell biology trong lĩnh vực biology.
organelle,bào quan,biology,cell_biology,biology,,A term in cell biology within biology.,Thuật ngữ thuộc nhóm cell biology trong lĩnh vực biology.
stem cell,tế bào gốc,biology,cell_biology,biology,,A term in cell biology within biology.,Thuật ngữ thuộc nhóm cell biology trong lĩnh vực biology.
cell division,phân bào,biology,cell_biology,biology,,A term in cell biology within biology.,Thuật ngữ thuộc nhóm cell biology trong lĩnh vực biology.
mitosis,nguyên phân,biology,cell_biology,biology,,A term in cell biology within biology.,Thuật ngữ thuộc nhóm cell biology trong lĩnh vực biology.
meiosis,giảm phân,biology,cell_biology,biology,,A term in cell biology within biology.,Thuật ngữ thuộc nhóm cell biology trong lĩnh vực biology.
apoptosis,chết theo chương trình,biology,cell_biology,biology,,A term in cell biology within biology.,Thuật ngữ thuộc nhóm cell biology trong lĩnh vực biology.
cell signaling,truyền tín hiệu tế bào,biology,cell_biology,biology,,A term in cell biology within biology.,Thuật ngữ thuộc nhóm cell biology trong lĩnh vực biology.
cell cycle,chu kỳ tế bào,biology,cell_biology,biology,,A term in cell biology within biology.,Thuật ngữ thuộc nhóm cell biology trong lĩnh vực biology.
gene,gen,biology,genetics,biology,,A term in genetics within biology.,Thuật ngữ thuộc nhóm genetics trong lĩnh vực biology.
genome,bộ gen,biology,genetics,biology,,A term in genetics within biology.,Thuật ngữ thuộc nhóm genetics trong lĩnh vực biology.
chromosome,nhiễm sắc thể,biology,genetics,biology,,A term in genetics within biology.,Thuật ngữ thuộc nhóm genetics trong lĩnh vực biology.
DNA,DNA,biology,genetics,biology,deoxyribonucleic acid,A term in genetics within biology.,Thuật ngữ thuộc nhóm genetics trong lĩnh vực biology.
RNA,RNA,biology,genetics,biology,ribonucleic acid,A term in genetics within biology.,Thuật ngữ thuộc nhóm genetics trong lĩnh vực biology.
messenger RNA,RNA thông tin,biology,genetics,biology,mRNA,A term in genetics within biology.,Thuật ngữ thuộc nhóm genetics trong lĩnh vực biology.
transfer RNA,RNA vận chuyển,biology,genetics,biology,tRNA,A term in genetics within biology.,Thuật ngữ thuộc nhóm genetics trong lĩnh vực biology.
ribosomal RNA,RNA ribosome,biology,genetics,biology,rRNA,A term in genetics within biology.,Thuật ngữ thuộc nhóm genetics trong lĩnh vực biology.
mutation,đột biến,biology,genetics,biology,,A term in genetics within biology.,Thuật ngữ thuộc nhóm genetics trong lĩnh vực biology.
allele,alen,biology,genetics,biology,,A term in genetics within biology.,Thuật ngữ thuộc nhóm genetics trong lĩnh vực biology.
genotype,kiểu gen,biology,genetics,biology,,A term in genetics within biology.,Thuật ngữ thuộc nhóm genetics trong lĩnh vực biology.
phenotype,kiểu hình,biology,genetics,biology,,A term in genetics within biology.,Thuật ngữ thuộc nhóm genetics trong lĩnh vực biology.
heredity,di truyền,biology,genetics,biology,,A term in genetics within biology.,Thuật ngữ thuộc nhóm genetics trong lĩnh vực biology.
genetic drift,phiêu bạt di truyền,biology,genetics,biology,,A term in genetics within biology.,Thuật ngữ thuộc nhóm genetics trong lĩnh vực biology.
natural selection,chọn lọc tự nhiên,biology,genetics,biology,,A term in genetics within biology.,Thuật ngữ thuộc nhóm genetics trong lĩnh vực biology.
recombination,tái tổ hợp,biology,genetics,biology,,A term in genetics within biology.,Thuật ngữ thuộc nhóm genetics trong lĩnh vực biology.
gene expression,biểu hiện gen,biology,genetics,biology,,A term in genetics within biology.,Thuật ngữ thuộc nhóm genetics trong lĩnh vực biology.
epigenetics,di truyền biểu sinh,biology,genetics,biology,,A term in genetics within biology.,Thuật ngữ thuộc nhóm genetics trong lĩnh vực biology.
transcription,phiên mã,biology,genetics,biology,,A term in genetics within biology.,Thuật ngữ thuộc nhóm genetics trong lĩnh vực biology.
translation,dịch mã,biology,genetics,biology,,A term in genetics within biology.,Thuật ngữ thuộc nhóm genetics trong lĩnh vực biology.
protein,protein,biology,molecular_biology,biology,,A term in molecular biology within biology.,Thuật ngữ thuộc nhóm molecular biology trong lĩnh vực biology.
amino acid,axit amin,biology,molecular_biology,biology,,A term in molecular biology within biology.,Thuật ngữ thuộc nhóm molecular biology trong lĩnh vực biology.
enzyme,enzyme,biology,molecular_biology,biology,,A term in molecular biology within biology.,Thuật ngữ thuộc nhóm molecular biology trong lĩnh vực biology.
substrate,cơ chất,biology,molecular_biology,biology,,A term in molecular biology within biology.,Thuật ngữ thuộc nhóm molecular biology trong lĩnh vực biology.
catalysis,xúc tác,biology,molecular_biology,biology,,A term in molecular biology within biology.,Thuật ngữ thuộc nhóm molecular biology trong lĩnh vực biology.
metabolism,trao đổi chất,biology,molecular_biology,biology,,A term in molecular biology within biology.,Thuật ngữ thuộc nhóm molecular biology trong lĩnh vực biology.
metabolic pathway,con đường chuyển hóa,biology,molecular_biology,biology,,A term in molecular biology within biology.,Thuật ngữ thuộc nhóm molecular biology trong lĩnh vực biology.
glycolysis,đường phân,biology,molecular_biology,biology,,A term in molecular biology within biology.,Thuật ngữ thuộc nhóm molecular biology trong lĩnh vực biology.
citric acid cycle,chu trình axit citric,biology,molecular_biology,biology,,A term in molecular biology within biology.,Thuật ngữ thuộc nhóm molecular biology trong lĩnh vực biology.
oxidative phosphorylation,phosphoryl hóa oxy hóa,biology,molecular_biology,biology,,A term in molecular biology within biology.,Thuật ngữ thuộc nhóm molecular biology trong lĩnh vực biology.
ATP,ATP,biology,molecular_biology,biology,adenosine triphosphate,A term in molecular biology within biology.,Thuật ngữ thuộc nhóm molecular biology trong lĩnh vực biology.
