term_en,term_vi,domain,subdomain,parent_term_en,synonyms_en,definition_en,definition_vi
physics,vật lý,physics,mechanics,physics,,A term in mechanics within physics.,Thuật ngữ thuộc nhóm mechanics trong lĩnh vực physics.
mechanics,cơ học,physics,mechanics,physics,,A term in mechanics within physics.,Thuật ngữ thuộc nhóm mechanics trong lĩnh vực physics.
displacement,độ dời,physics,mechanics,physics,,A term in mechanics within physics.,Thuật ngữ thuộc nhóm mechanics trong lĩnh vực physics.
velocity,vận tốc,physics,mechanics,physics,,A term in mechanics within physics.,Thuật ngữ thuộc nhóm mechanics trong lĩnh vực physics.
acceleration,gia tốc,physics,mechanics,physics,,A term in mechanics within physics.,Thuật ngữ thuộc nhóm mechanics trong lĩnh vực physics.
force,lực,physics,mechanics,physics,,A term in mechanics within physics.,Thuật ngữ thuộc nhóm mechanics trong lĩnh vực physics.
mass,khối lượng,physics,mechanics,physics,,A term in mechanics within physics.,Thuật ngữ thuộc nhóm mechanics trong lĩnh vực physics.
weight,trọng lượng,physics,mechanics,physics,,A term in mechanics within physics.,Thuật ngữ thuộc nhóm mechanics trong lĩnh vực physics.
momentum,động lượng,physics,mechanics,physics,,A term in mechanics within physics.,Thuật ngữ thuộc nhóm mechanics trong lĩnh vực physics.
angular momentum,mômen động lượng,physics,mechanics,physics,,A term in mechanics within physics.,Thuật ngữ thuộc nhóm mechanics trong lĩnh vực physics.
torque,mômen lực,physics,mechanics,physics,,A term in mechanics within physics.,Thuật ngữ thuộc nhóm mechanics trong lĩnh vực physics.
friction,ma sát,physics,mechanics,physics,,A term in mechanics within physics.,Thuật ngữ thuộc nhóm mechanics trong lĩnh vực physics.
inertia,quán tính,physics,mechanics,physics,,A term in mechanics within physics.,Thuật ngữ thuộc nhóm mechanics trong lĩnh vực physics.
work,công,physics,mechanics,physics,,A term in mechanics within physics.,Thuật ngữ thuộc nhóm mechanics trong lĩnh vực physics.
power,công suất,physics,mechanics,physics,,A term in mechanics within physics.,Thuật ngữ thuộc nhóm mechanics trong lĩnh vực physics.
