term_en,term_vi,domain,subdomain,parent_term_en,synonyms_en,definition_en,definition_vi
algorithm,thuật toán,computer_science,algorithms,computer science,,A term in algorithms within computer science.,Thuật ngữ thuộc nhóm algorithms trong lĩnh vực computer science.
time complexity,độ phức tạp thời gian,computer_science,algorithms,computer science,,A term in algorithms within computer science.,Thuật ngữ thuộc nhóm algorithms trong lĩnh vực computer science.
space complexity,độ phức tạp không gian,computer_science,algorithms,computer science,,A term in algorithms within computer science.,Thuật ngữ thuộc nhóm algorithms trong lĩnh vực computer science.
big O notation,ký hiệu độ lớn O,computer_science,algorithms,computer science,,A term in algorithms within computer science.,Thuật ngữ thuộc nhóm algorithms trong lĩnh vực computer science.
recursion,đệ quy,computer_science,algorithms,computer science,,A term in algorithms within computer science.,Thuật ngữ thuộc nhóm algorithms trong lĩnh vực computer science.
dynamic programming,quy hoạch động,computer_science,algorithms,computer science,,A term in algorithms within computer science.,Thuật ngữ thuộc nhóm algorithms trong lĩnh vực computer science.
greedy algorithm,thuật toán tham lam,computer_science,algorithms,computer science,,A term in algorithms within computer science.,Thuật ngữ thuộc nhóm algorithms trong lĩnh vực computer science.
divide and conquer,chia để trị,computer_science,algorithms,computer science,,A term in algorithms within computer science.,Thuật ngữ thuộc nhóm algorithms trong lĩnh vực computer science.
backtracking,quay lui,computer_science,algorithms,computer science,,A term in algorithms within computer science.,Thuật ngữ thuộc nhóm algorithms trong lĩnh vực computer science.
branch and bound,nhánh cận,computer_science,algorithms,computer science,,A term in algorithms within computer science.,Thuật ngữ thuộc nhóm algorithms trong lĩnh vực computer science.
graph algorithm,thuật toán đồ thị,computer_science,algorithms,computer science,,A term in algorithms within computer science.,Thuật ngữ thuộc nhóm algorithms trong lĩnh vực computer science.
shortest path,đường đi ngắn nhất,computer_science,algorithms,computer science,,A term in algorithms within computer science.,Thuật ngữ thuộc nhóm algorithms trong lĩnh vực computer science.
minimum spanning tree,cây khung nhỏ nhất,computer_science,algorithms,computer science,,A term in algorithms within computer science.,Thuật ngữ thuộc nhóm algorithms trong lĩnh vực computer science.
topological sort,sắp xếp topo,computer_science,algorithms,computer science,,A term in algorithms within computer science.,Thuật ngữ thuộc nhóm algorithms trong lĩnh vực computer science.
binary search,tìm kiếm nhị phân,computer_science,algorithms,computer science,,A term in algorithms within computer science.,Thuật ngữ thuộc nhóm algorithms trong lĩnh vực computer science.
sorting algorithm,thuật toán sắp xếp,computer_science,algorithms,computer science,,A term in algorithms within computer science.,Thuật ngữ thuộc nhóm algorithms trong lĩnh vực computer science.
merge sort,sắp xếp trộn,computer_science,algorithms,computer science,,A term in algorithms within computer science.,Thuật ngữ thuộc nhóm algorithms trong lĩnh vực computer science.
quick sort,sắp xếp nhanh,computer_science,algorithms,computer science,,A term in algorithms within computer science.,Thuật ngữ thuộc nhóm algorithms trong lĩnh vực computer science.
heap sort,sắp xếp vun đống,computer_science,algorithms,computer science,,A term in algorithms within computer science.,Thuật ngữ thuộc nhóm algorithms trong lĩnh vực computer science.
breadth-first search,tìm kiếm theo chiều rộng,computer_science,algorithms,computer science,,A term in algorithms within computer science.,Thuật ngữ thuộc nhóm algorithms trong lĩnh vực computer science.
depth-first search,tìm kiếm theo chiều sâu,computer_science,algorithms,computer science,,A term in algorithms within computer science.,Thuật ngữ thuộc nhóm algorithms trong lĩnh vực computer science.
Dijkstra algorithm,thuật toán Dijkstra,computer_science,algorithms,computer science,,A term in algorithms within computer science.,Thuật ngữ thuộc nhóm algorithms trong lĩnh vực computer science.
Bellman-Ford algorithm,thuật toán Bellman-Ford,computer_science,algorithms,computer science,,A term in algorithms within computer science.,Thuật ngữ thuộc nhóm algorithms trong lĩnh vực computer science.
Floyd-Warshall algorithm,thuật toán Floyd-Warshall,computer_science,algorithms,computer science,,A term in algorithms within computer science.,Thuật ngữ thuộc nhóm algorithms trong lĩnh vực computer science.
